epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,42347.8,0.77512,0.49067,0.8734,0.68794,0.47141,0.53424,0.35328,0.98738,0.74685,0.9688,0.0001684,0.0001684,0.0001684
86,42838,0.77617,0.48938,0.87436,0.69938,0.46731,0.53374,0.3532,0.98782,0.74546,0.97183,0.0001585,0.0001585,0.0001585
87,43329.5,0.77067,0.48634,0.87443,0.6754,0.47533,0.53234,0.35242,0.99073,0.74557,0.97492,0.0001486,0.0001486,0.0001486
88,43842,0.76507,0.48329,0.8695,0.66795,0.47558,0.52652,0.34965,0.99001,0.74966,0.97383,0.0001387,0.0001387,0.0001387
89,44362.6,0.76861,0.48279,0.87231,0.66456,0.47548,0.52149,0.34629,0.99106,0.75109,0.974,0.0001288,0.0001288,0.0001288
90,44871.7,0.75816,0.47794,0.87035,0.68542,0.46699,0.5244,0.34826,0.99051,0.75317,0.97309,0.0001189,0.0001189,0.0001189
91,45167.2,0.77748,0.47584,0.86727,0.66392,0.4662,0.51827,0.3433,1.00113,0.76463,0.97658,0.000109,0.000109,0.000109
92,45398.1,0.76579,0.46377,0.86498,0.66073,0.46366,0.51673,0.34116,1.00294,0.76377,0.97844,9.91e-05,9.91e-05,9.91e-05
93,45628.6,0.75729,0.46035,0.86212,0.6663,0.47087,0.52299,0.34546,0.9966,0.75452,0.97622,8.92e-05,8.92e-05,8.92e-05
94,45859.4,0.75593,0.45828,0.85952,0.68124,0.46409,0.5264,0.34764,0.99294,0.75388,0.97433,7.93e-05,7.93e-05,7.93e-05
95,46090,0.75242,0.45442,0.85899,0.68262,0.46151,0.52132,0.34483,0.99332,0.75615,0.97478,6.94e-05,6.94e-05,6.94e-05
96,46320.2,0.75125,0.45448,0.8592,0.67975,0.46065,0.52158,0.34548,0.99557,0.75674,0.97427,5.95e-05,5.95e-05,5.95e-05
97,46549.6,0.7486,0.44893,0.8587,0.65987,0.46871,0.52259,0.34617,0.99842,0.76064,0.97722,4.96e-05,4.96e-05,4.96e-05
98,46779.2,0.745,0.45038,0.85811,0.64082,0.48447,0.5226,0.34636,0.9956,0.75903,0.97769,3.97e-05,3.97e-05,3.97e-05
99,47008.6,0.73981,0.44628,0.85473,0.65075,0.4769,0.52251,0.34568,0.9969,0.75804,0.97874,2.98e-05,2.98e-05,2.98e-05
100,47237.9,0.73662,0.44344,0.85576,0.69511,0.45661,0.52289,0.3462,0.9967,0.75793,0.97866,1.99e-05,1.99e-05,1.99e-05
